Epoch,Loss,Accuracy
0,0.6788,42.4873
1,0.6783,42.4991
2,0.6781,42.6235
3,0.6773,42.5702
4,0.6773,42.4813
5,0.6765,42.5347
6,0.6766,42.4813
7,0.6759,42.511
8,0.6757,42.4695
9,0.6754,42.5287
10,0.675,42.4873
11,0.6741,42.4339
12,0.6744,42.4754
13,0.6738,42.4754
14,0.6734,42.4813
15,0.6734,42.4695
16,0.6724,42.4162
17,0.6723,42.5821
18,0.6727,42.5169
19,0.6719,42.4873
20,0.6718,42.511
21,0.6713,42.5643
22,0.6714,42.588
23,0.6711,42.4754
24,0.6702,42.5465
25,0.67,42.5347
26,0.6697,42.511
27,0.6695,42.6413
28,0.6696,42.5524
29,0.669,42.5169
30,0.6681,42.3925
31,0.6679,42.5347
32,0.6672,42.6295
33,0.6673,42.505
34,0.6675,42.4695
35,0.6663,42.6828
